Categoría,Palabras clave y frases
Problemas de conexión,"lenta, intermitente, corte, ping alto, desconexión, Tengo lenta, Tengo intermitente, Tengo corte, Tengo ping alto, Tengo desconexión, Mi lenta no funciona, Mi corte no funciona, Mi ping alto no funciona, Mi desconexión no funciona, Estoy teniendo problemas con lenta, Estoy teniendo problemas con intermitente, Estoy teniendo problemas con corte, Estoy teniendo problemas con ping alto, Estoy teniendo problemas con desconexión, La lenta está mal, La intermitente está mal, La corte está mal, La ping alto está mal, La desconexión está mal, Es muy lenta, Es muy intermitente, ¿Ha notado lenta?, ¿Ha notado intermitente?, ¿Ha notado corte?, ¿Ha notado ping alto?, ¿Ha notado desconexión?, No debería ser lenta, No debería ser intermitente, No debería ser corte, No debería ser ping alto, No debería ser desconexión"
Problemas de instalación,"retraso en la instalación, instalación incompleta, fallo equipo, fibra rota, Tengo retraso en la instalación, Tengo instalación incompleta, Tengo fallo equipo, Tengo fibra rota, Mi retraso en la instalación no funciona, Mi instalación incompleta no funciona, Mi fallo equipo no funciona, Mi fibra rota no funciona, Estoy teniendo problemas con retraso en la instalación, Estoy teniendo problemas con instalación incompleta, Estoy teniendo problemas con fallo equipo, Estoy teniendo problemas con fibra rota, La retraso en la instalación está mal, La instalación incompleta está mal, La fallo equipo está mal, La fibra rota está mal, ¿Ha notado retraso en la instalación?, ¿Ha notado instalación incompleta?, ¿Ha notado fallo equipo?, ¿Ha notado fibra rota?, No debería ser retraso en la instalación, No debería ser instalación incompleta, No debería ser fallo equipo, No debería ser fibra rota"
Problemas de facturación,"cobro erróneo, factura no recibida, monto incorrecto, Tengo cobro erróneo, Tengo factura no recibida, Tengo monto incorrecto, Mi cobro erróneo no funciona, Mi factura no recibida no funciona, Mi monto incorrecto no funciona, Estoy teniendo problemas con cobro erróneo, Estoy teniendo problemas con factura no recibida, Estoy teniendo problemas con monto incorrecto, La cobro erróneo está mal, La factura no recibida está mal, La monto incorrecto está mal, ¿Ha notado cobro erróneo?, ¿Ha notado factura no recibida?, ¿Ha notado monto incorrecto?, No debería ser cobro erróneo, No debería ser factura no recibida, No debería ser monto incorrecto"
Soporte técnico,"respuestas lentas, problema no resuelto, mala atención, Tengo respuestas lentas, Tengo problema no resuelto, Tengo mala atención, Mi respuestas lentas no funciona, Mi problema no resuelto no funciona, Mi mala atención no funciona, Estoy teniendo problemas con respuestas lentas, Estoy teniendo problemas con problema no resuelto, Estoy teniendo problemas con mala atención, La respuestas lentas está mal, La problema no resuelto está mal, La mala atención está mal, ¿Ha notado respuestas lentas?, ¿Ha notado problema no resuelto?, ¿Ha notado mala atención?, No debería ser respuestas lentas, No debería ser problema no resuelto, No debería ser mala atención"
Disponibilidad del servicio,"falta de cobertura, interrupción prolongada, Tengo falta de cobertura, Tengo interrupción prolongada, Mi falta de cobertura no funciona, Mi interrupción prolongada no funciona, Estoy teniendo problemas con falta de cobertura, Estoy teniendo problemas con interrupción prolongada, La falta de cobertura está mal, La interrupción prolongada está mal, ¿Ha notado falta de cobertura?, ¿Ha notado interrupción prolongada?, No debería ser falta de cobertura, No debería ser interrupción prolongada"
Velocidad no contratada,"velocidad contratada, no coincide, velocidad baja, Tengo velocidad contratada, Tengo no coincide, Tengo velocidad baja, Mi velocidad contratada no funciona, Mi no coincide no funciona, Mi velocidad baja no funciona, Estoy teniendo problemas con velocidad contratada, Estoy teniendo problemas con no coincide, Estoy teniendo problemas con velocidad baja, La velocidad contratada está mal, La no coincide está mal, La velocidad baja está mal, ¿Ha notado velocidad contratada?, ¿Ha notado no coincide?, ¿Ha notado velocidad baja?, No debería ser velocidad contratada, No debería ser no coincide, No debería ser velocidad baja"
Problemas de cancelación o cambio de plan,"cancelación difícil, modificar plan, penalización, Tengo cancelación difícil, Tengo modificar plan, Tengo penalización, Mi cancelación difícil no funciona, Mi modificar plan no funciona, Mi penalización no funciona, Estoy teniendo problemas con cancelación difícil, Estoy teniendo problemas con modificar plan, Estoy teniendo problemas con penalización, La cancelación difícil está mal, La modificar plan está mal, La penalización está mal, ¿Ha notado cancelación difícil?, ¿Ha notado modificar plan?, ¿Ha notado penalización?, No debería ser cancelación difícil, No debería ser modificar plan, No debería ser penalización"
Problemas de atención al cliente,"falta de empatía, mala información, confusión, Tengo falta de empatía, Tengo mala información, Tengo confusión, Mi falta de empatía no funciona, Mi mala información no funciona, Mi confusión no funciona, Estoy teniendo problemas con falta de empatía, Estoy teniendo problemas con mala información, Estoy teniendo problemas con confusión, La falta de empatía está mal, La mala información está mal, La confusión está mal, ¿Ha notado falta de empatía?, ¿Ha notado mala información?, ¿Ha notado confusión?, No debería ser falta de empatía, No debería ser mala información, No debería ser confusión"
Problemas de compatibilidad,"equipo incompatible, Tengo equipo incompatible, Mi equipo incompatible no funciona, Estoy teniendo problemas con equipo incompatible, La equipo incompatible está mal, ¿Ha notado equipo incompatible?, No debería ser equipo incompatible"
Promociones,"promoción, descuento, oferta no aplicada, Tengo promoción, Tengo descuento, Tengo oferta no aplicada, Mi promoción no funciona, Mi descuento no funciona, Mi oferta no aplicada no funciona, Estoy teniendo problemas con promoción, Estoy teniendo problemas con descuento, Estoy teniendo problemas con oferta no aplicada, La promoción está mal, La descuento está mal, La oferta no aplicada está mal, ¿Ha notado promoción?, ¿Ha notado descuento?, ¿Ha notado oferta no aplicada?, No debería ser promoción, No debería ser descuento, No debería ser oferta no aplicada"
Tiempo de respuesta,"tiempo de espera, resolución lenta, Tengo tiempo de espera, Tengo resolución lenta, Mi tiempo de espera no funciona, Mi resolución lenta no funciona, Estoy teniendo problemas con tiempo de espera, Estoy teniendo problemas con resolución lenta, La tiempo de espera está mal, La resolución lenta está mal, ¿Ha notado tiempo de espera?, ¿Ha notado resolución lenta?, No debería ser tiempo de espera, No debería ser resolución lenta"
Portal del cliente,"portal inaccesible, error en portal, problema pago, Tengo portal inaccesible, Tengo error en portal, Tengo problema pago, Mi portal inaccesible no funciona, Mi error en portal no funciona, Mi problema pago no funciona, Estoy teniendo problemas con portal inaccesible, Estoy teniendo problemas con error en portal, Estoy teniendo problemas con problema pago, La portal inaccesible está mal, La error en portal está mal, La problema pago está mal, ¿Ha notado portal inaccesible?, ¿Ha notado error en portal?, ¿Ha notado problema pago?, No debería ser portal inaccesible, No debería ser error en portal, No debería ser problema pago"
Interrupciones sin aviso,"mantenimiento sin aviso, corte no avisado, Tengo mantenimiento sin aviso, Tengo corte no avisado, Mi corte no avisado no funciona, Estoy teniendo problemas con mantenimiento sin aviso, Estoy teniendo problemas con corte no avisado, La mantenimiento sin aviso está mal, La corte no avisado está mal, ¿Ha notado mantenimiento sin aviso?, ¿Ha notado corte no avisado?, No debería ser mantenimiento sin aviso, No debería ser corte no avisado"
Incumplimiento de acuerdos,"cambio contrato, incumplimiento acuerdo, Tengo cambio contrato, Tengo incumplimiento acuerdo, Mi cambio contrato no funciona, Estoy teniendo problemas con cambio contrato, Estoy teniendo problemas con incumplimiento acuerdo, La cambio contrato está mal, La incumplimiento acuerdo está mal, ¿Ha notado cambio contrato?, ¿Ha notado incumplimiento acuerdo?, No debería ser cambio contrato, No debería ser incumplimiento acuerdo"
Cobertura y velocidad limitada,"red saturada, velocidad limitada, Tengo red saturada, Tengo velocidad limitada, Mi red saturada no funciona, Estoy teniendo problemas con red saturada, Estoy teniendo problemas con velocidad limitada, La red saturada está mal, La velocidad limitada está mal, ¿Ha notado red saturada?, ¿Ha notado velocidad limitada?, No debería ser red saturada, No debería ser velocidad limitada"
Felicitaciones: instalación,"instalación rápida, instalación excelente, Tengo instalación rápida, Tengo instalación excelente, Mi instalación rápida no funciona, Mi instalación excelente no funciona, Estoy teniendo problemas con instalación rápida, Estoy teniendo problemas con instalación excelente, La instalación rápida está mal, La instalación excelente está mal, ¿Ha notado instalación rápida?, ¿Ha notado instalación excelente?, No debería ser instalación rápida, No debería ser instalación excelente"
Felicitaciones: actualización,"mejora automática, servicio mejorado, Tengo mejora automática, Tengo servicio mejorado, Mi mejora automática no funciona, Mi servicio mejorado no funciona, Estoy teniendo problemas con mejora automática, Estoy teniendo problemas con servicio mejorado, La mejora automática está mal, La servicio mejorado está mal, ¿Ha notado mejora automática?, ¿Ha notado servicio mejorado?, No debería ser mejora automática, No debería ser servicio mejorado"
Felicitaciones: personal,"técnico amable, excelente atención, superó expectativas, Tengo técnico amable, Tengo excelente atención, Tengo superó expectativas, Mi técnico amable no funciona, Mi excelente atención no funciona, Mi superó expectativas no funciona, Estoy teniendo problemas con técnico amable, Estoy teniendo problemas con excelente atención, Estoy teniendo problemas con superó expectativas, La técnico amable está mal, La excelente atención está mal, La superó expectativas está mal, ¿Ha notado técnico amable?, ¿Ha notado excelente atención?, ¿Ha notado superó expectativas?, No debería ser técnico amable, No debería ser excelente atención, No debería ser superó expectativas"
